"rev","age","city","income","marital","debrate","due30","due60","due90","loan_num","is_bad"
"0.993664505637759","57","J","5136.48797702044","1","0.944800187120496","0","0","0","19","0"
"0.283548487083736","79","Y","2016.98124197684","1","0.458463863210834","0","0","0","2","0"
"0","67","H",,"0","2504","0","0","0","5","0"
"1.02455677460084","35","N","6825.2930513043","1","0.366537523140461","1","0","0","9","0"
"0.0435241056198373","61","R","8155.71913000382","1","0.0404288140213341","0","0","0","1","0"
"0.118083788193378","77","O",,"0","74","0","0","0","2","0"
"0.0604087103793259","65","S","0","1","989","1","0","0","13","0"
"0.141343607372617","31","C","4321.24326677062","1","3.4843833867407","1","0","0","8","1"
"0.627307392276624","45","C","20851.3259325102","1","0.169483591849712","0","0","1","7","0"
"0.64144038171937","57","T","13981.3576711118","1","0.169336733086631","1","0","0","10","1"
"0.513451179288677","31","G",,"1","3114","0","0","0","10","0"
"0.590328231823373","39","D","8387.76945396513","1","0.356869657848851","0","0","0","17","0"
"0.5284089807994","27","T","5779.97678248212","1","0.0362440192978182","0","0","0","4","0"
"0.277507200669249","72","P","5279.00485461578","1","0.204644201216795","0","0","0","3","0"
"0.248074914782859","59","O","2512.11361354217","1","0.409412719392382","0","0","0","4","0"
"0.204447297430086","49","I","18119.6349408329","1","0.593303932137271","3","0","1","16","0"
"0.548527525008134","62","Y","14240.7097387798","0","0.0976743356138849","1","0","0","7","0"
"0.0128617682768267","58","W",,"1","5","0","0","0","2","0"
"0.123907179045081","38","M","8637.81878747977","0","0.331093949375569","0","0","0","6","0"
"0.121377036293123","46","Y","7392.15265330859","0","0.504877036711318","1","0","0","13","0"
"0.687884305975791","66","W","4035.76809172519","0","0.194011628108686","0","0","0","4","0"
"0.180546910476799","62","K","7395.63015071675","0","0.34196338710698","0","0","0","17","0"
"0.0369637914898255","57","F",,"0","2475","0","0","0","25","0"
"0.0783099263646689","76","R",,"2","1374","0","0","0","8","0"
"0.283660074206994","28","Y","5839.79240199924","1","0.528181414307353","0","0","0","9","0"
"1.01876505944023","46","B","3819.22571058385","1","0.0442918129518549","0","0","0","0","0"
"0.0675197322157196","53","X","4928.5688014701","1","0.970995181969246","0","0","0","12","0"
"0","53","J",,"1","2385","0","0","0","3","0"
"0.550534429184622","47","R",,"0","38","0","0","0","1","0"
"0.524431847709695","42","B","6079.68649012037","0","0.230331820222798","0","0","0","8","0"
"0.251689432007147","49","F","3518.38585161604","0","0.560363889392004","0","0","0","5","0"
"0.0981524679299688","28","V","4544.13373865746","1","0.222416680123425","0","0","0","10","0"
"1.03078461624758","57","W","4916.60536006093","1","0","0","0","0","2","0"
"0","60","O",,"0","3590","1","0","0","10","0"
"0.187572652246326","51","M","11093.2288077045","1","0.195837326802933","0","0","0","9","0"
"0.170705985494176","41","W","4033.43267547898","0","0.625472059672421","0","0","0","5","0"
"0.744120317773248","36","O","4272.60020836256","1","0.481284663682982","0","0","0","9","0"
"0.933511155442033","62","D","2633.63347217441","1","2.66235777888891","0","2","3","14","1"
"0.289032825790511","54","R","4828.91322360374","1","0.0560575298078283","0","0","0","1","1"
"0.0450420808305077","51","Y","4419.74732121453","1","0.784184172001237","0","0","0","13","0"
"0.161500816910355","69","W","4463.55974095128","1","0.208301656581737","0","0","0","6","0"
"0.70025004798336","50","D","6276.07832890935","1","0.515920324073607","0","0","0","6","0"
"0.0732526910420335","66","A","6293.94148931839","1","0.464449481441169","0","0","0","11","0"
